sp     cpout  OPCODE Rd     Rt     Rs     Shamt  FCODE  
000    0000   00001  0110   0000   0000   1000   0111   
000    0001   00001  1000   0000   0000   1001   0000   
000    0002   00000  1000   0010   0011   0000   0000   
000    0003   00000  0001   0010   0011   0000   0001   
000    0004   10100  0000   0000   0000   0000   1001   
001    0009   00000  0001   0010   0011   0000   0001   
001    000A   00001  0110   0000   0000   1000   0111   
001    000B   10101  0000   0000   0000   0000   0000   
010    0013   00000  0000   0000   0000   0000   0000   
010    0014   00000  0000   0000   0000   0000   0000   
010    0015   00000  0000   0000   0000   0000   0000   
010    0016   00000  0000   0000   0000   0000   0000   
001    000C   00000  0001   0010   0011   0000   0001   
001    000D   00001  0110   0000   0000   1000   0111   
001    000E   10101  0000   0000   0000   0000   0000   
000    0005   00001  0110   0000   0000   1000   0111   
000    0018   00000  0000   0000   0000   0000   0000   
000    0019   00000  0000   0000   0000   0000   0000   
000    001A   00000  0000   0000   0000   0000   0000   
000    0017   00000  0000   0000   0000   0000   0000   
